account_id,transaction_id,status,amount,investment_requested_at,investment_completed_at,investment_completed_at_timestamp,type
623509224135263,832358148869144320,completed,499.66,1600787895,1600787897,2020-09-22T15:18:17.000000000,investment_transfer_in
623509224135263,1329504940934229248,completed,876.47,1591183247,1591183255,2020-06-03T11:20:55.000000000,investment_transfer_in
623509224135263,1819638848337891584,completed,1463.14,1582614975,1582614991,2020-02-25T07:16:31.000000000,investment_transfer_in
623509224135263,2239147940568222976,completed,528.28,1592386421,1592386427,2020-06-17T09:33:47.000000000,investment_transfer_in
623509224135263,1755283541337998080,completed,859.8,1579433811,1579433816,2020-01-19T11:36:56.000000000,investment_transfer_in
623509224135263,2962056282441909760,completed,514.33,1580831405,1580831416,2020-02-04T15:50:16.000000000,investment_transfer_in
623509224135263,2082521405983740672,completed,418.33,1601643133,1601643149,2020-10-02T12:52:29.000000000,investment_transfer_out
623509224135263,2682975598183596032,completed,806.43,1586063178,1586063179,2020-04-05T05:06:19.000000000,investment_transfer_in
623509224135263,894091271818862976,completed,261.75,1592319367,1592319375,2020-06-16T14:56:15.000000000,investment_transfer_in
623509224135263,510175908020945792,completed,1386.78,1604155600,1604155604,2020-10-31T14:46:44.000000000,investment_transfer_in
1910868644230470,555441156782091328,completed,672.06,1584398467,1584398476,2020-03-16T22:41:16.000000000,investment_transfer_in
1910868644230470,69366769027827672,completed,773.88,1588962554,1588962571,2020-05-08T18:29:31.000000000,investment_transfer_in
1910868644230470,929588634362932224,completed,733.13,1605198197,1605198216,2020-11-12T16:23:36.000000000,investment_transfer_in
1963067196365885,2986130373467638784,completed,1381.87,1581480437,1581480454,2020-02-12T04:07:34.000000000,investment_transfer_out
1963067196365885,2828762105485965312,completed,1442.74,1593331198,1593331208,2020-06-28T08:00:08.000000000,investment_transfer_out
1963067196365885,927812298234641024,completed,443.54,1586956327,1586956328,2020-04-15T13:12:08.000000000,investment_transfer_in
1977223077647860,3100752537337675264,completed,1144.15,1586555039,1586555044,2020-04-10T21:44:04.000000000,investment_transfer_out
1977223077647860,705857614040564224,completed,650.31,1608128554,1608128554,2020-12-16T14:22:34.000000000,investment_transfer_in
3417018705901279,427850048417224768,completed,1129.82,1589830609,1589830627,2020-05-18T19:37:07.000000000,investment_transfer_out
3417018705901279,1563380619453336576,completed,576.04,1596567161,1596567171,2020-08-04T18:52:51.000000000,investment_transfer_in
3417018705901279,577587554478647040,failed,1482.36,1601720631,,,investment_transfer_in
3417018705901279,1445979498210115072,completed,344.48,1581518538,1581518546,2020-02-12T14:42:26.000000000,investment_transfer_out
3417018705901279,2738120336573454848,completed,469.24,1582785528,1582785538,2020-02-27T06:38:58.000000000,investment_transfer_in
3417018705901279,2109831222158344704,completed,814.02,1606235258,1606235273,2020-11-24T16:27:53.000000000,investment_transfer_in
3417018705901279,3241139370292715520,completed,169.89,1589039210,1589039225,2020-05-09T15:47:05.000000000,investment_transfer_in
3417018705901279,261625693162180544,completed,887.19,1600701083,1600701092,2020-09-21T15:11:32.000000000,investment_transfer_in
3417018705901279,3327704404337610752,completed,150.96,1580579344,1580579361,2020-02-01T17:49:21.000000000,investment_transfer_in
3417018705901279,92384676279333984,completed,394.08,1595491807,1595491808,2020-07-23T08:10:08.000000000,investment_transfer_in
4754428307736093,1273678936249962752,completed,941.26,1595290698,1595290709,2020-07-21T00:18:29.000000000,investment_transfer_in
4815918146446274,2375544774468082688,completed,240.63,1580459279,1580459286,2020-01-31T08:28:06.000000000,investment_transfer_in
4815918146446274,3182050860528679936,completed,463.32,1582006095,1582006111,2020-02-18T06:08:31.000000000,investment_transfer_out
4815918146446274,206515372326236352,completed,2.64,1608908744,1608908750,2020-12-25T15:05:50.000000000,investment_transfer_in
4815918146446274,1168696944925627648,completed,432.0,1608639168,1608639184,2020-12-22T12:13:04.000000000,investment_transfer_out
4815918146446274,1967068712363472896,completed,225.59,1607101192,1607101195,2020-12-04T16:59:55.000000000,investment_transfer_out
4815918146446274,628029643385397504,completed,934.38,1599686545,1599686547,2020-09-09T21:22:27.000000000,investment_transfer_in
4815918146446274,192983168009053440,completed,469.25,1583318503,1583318514,2020-03-04T10:41:54.000000000,investment_transfer_in
4815918146446274,2773662430014728704,completed,773.99,1596484488,1596484504,2020-08-03T19:55:04.000000000,investment_transfer_in
7089776641588232,1249535650470679552,failed,1018.95,1590154648,,,investment_transfer_in
7217842831573969,1633533099944856320,completed,597.76,1589087375,1589087375,2020-05-10T05:09:35.000000000,investment_transfer_in
7217842831573969,1687319322823608832,completed,1436.33,1606483192,1606483196,2020-11-27T13:19:56.000000000,investment_transfer_out
7217842831573969,3143208654222134272,completed,68.17,1584018681,1584018699,2020-03-12T13:11:39.000000000,investment_transfer_in
7217842831573969,921461243528262272,completed,646.61,1587773662,1587773663,2020-04-25T00:14:23.000000000,investment_transfer_out
7217842831573969,2182778093997573120,completed,263.46,1609057828,1609057833,2020-12-27T08:30:33.000000000,investment_transfer_out
7217842831573969,2803806967311740928,completed,731.26,1594824012,1594824022,2020-07-15T14:40:22.000000000,investment_transfer_in
7280986105095448,2687206745456109568,completed,630.36,1588837208,1588837220,2020-05-07T07:40:20.000000000,investment_transfer_in
7280986105095448,547646182440576000,failed,963.73,1581570299,,,investment_transfer_in
7280986105095448,214889403821003520,completed,1128.95,1595867940,1595867948,2020-07-27T16:39:08.000000000,investment_transfer_in
7280986105095448,3214065375851731968,completed,37.85,1584213188,1584213193,2020-03-14T19:13:13.000000000,investment_transfer_out
7280986105095448,470310276405532928,completed,580.66,1603615690,1603615710,2020-10-25T08:48:30.000000000,investment_transfer_in
7280986105095448,1575799487611675392,completed,885.88,1600432101,1600432104,2020-09-18T12:28:24.000000000,investment_transfer_in
7280986105095448,715521016720094592,completed,773.4,1604039651,1604039670,2020-10-30T06:34:30.000000000,investment_transfer_in
7280986105095448,2664570258538593280,completed,108.86,1589470035,1589470036,2020-05-14T15:27:16.000000000,investment_transfer_in
7280986105095448,1677102800743084544,completed,1131.27,1590035644,1590035647,2020-05-21T04:34:07.000000000,investment_transfer_in
8585202054705277,2619254966616773632,completed,1369.74,1596670166,1596670181,2020-08-05T23:29:41.000000000,investment_transfer_in
8585202054705277,1587306308604654336,completed,356.38,1604925713,1604925730,2020-11-09T12:42:10.000000000,investment_transfer_in
8585202054705277,2925677846790202880,completed,1419.59,1595054752,1595054768,2020-07-18T06:46:08.000000000,investment_transfer_in
8585202054705277,1717480092406383360,completed,1144.58,1585744816,1585744823,2020-04-01T12:40:23.000000000,investment_transfer_out
8585202054705277,1342901377765767936,completed,800.36,1600290231,1600290242,2020-09-16T21:04:02.000000000,investment_transfer_in
8585202054705277,1484645776048523264,completed,1308.23,1606838952,1606838958,2020-12-01T16:09:18.000000000,investment_transfer_in
8585202054705277,719496682757877760,completed,281.46,1608463010,1608463016,2020-12-20T11:16:56.000000000,investment_transfer_in
8760191993448631,1619029556045729024,completed,889.71,1600152233,1600152241,2020-09-15T06:44:01.000000000,investment_transfer_in
8760191993448631,3236345641309970432,completed,640.52,1599570517,1599570522,2020-09-08T13:08:42.000000000,investment_transfer_in
8760191993448631,928753540799788672,completed,86.92,1605147715,1605147715,2020-11-12T02:21:55.000000000,investment_transfer_out
8760191993448631,2859176435329626624,completed,92.99,1600563766,1600563775,2020-09-20T01:02:55.000000000,investment_transfer_out
8760191993448631,1653762075550565120,completed,78.0,1592833271,1592833279,2020-06-22T13:41:19.000000000,investment_transfer_in
8760191993448631,637676644480056704,completed,162.87,1590046462,1590046477,2020-05-21T07:34:37.000000000,investment_transfer_in
8760191993448631,749713232805280512,completed,1320.86,1591274195,1591274205,2020-06-04T12:36:45.000000000,investment_transfer_out
8760191993448631,3030509027891574272,completed,819.8,1600553423,1600553425,2020-09-19T22:10:25.000000000,investment_transfer_in
8760191993448631,1596528456532402432,completed,605.35,1588982874,1588982882,2020-05-09T00:08:02.000000000,investment_transfer_in
8760191993448631,3368869967890101248,completed,1437.93,1585870840,1585870851,2020-04-02T23:40:51.000000000,investment_transfer_in
9029246780109014,2806643690317576192,completed,331.51,1588371014,1588371020,2020-05-01T22:10:20.000000000,investment_transfer_in
9029246780109014,1068871228883768064,completed,476.81,1595026549,1595026566,2020-07-17T22:56:06.000000000,investment_transfer_in
9029246780109014,1195113134628452864,completed,776.2,1607546324,1607546324,2020-12-09T20:38:44.000000000,investment_transfer_in
9029246780109014,2446308038281374208,completed,1100.05,1585004711,1585004715,2020-03-23T23:05:15.000000000,investment_transfer_in
9161839631096504,879851455493773568,completed,810.03,1581376678,1581376680,2020-02-10T23:18:00.000000000,investment_transfer_out
9161839631096504,965834182375154304,completed,10.97,1605586375,1605586385,2020-11-17T04:13:05.000000000,investment_transfer_in
9161839631096504,3302524151645488128,completed,323.8,1597704507,1597704510,2020-08-17T22:48:30.000000000,investment_transfer_in
9161839631096504,277353847987830656,completed,76.64,1584860444,1584860454,2020-03-22T07:00:54.000000000,investment_transfer_in
9161839631096504,862867006898287232,completed,613.69,1584026265,1584026267,2020-03-12T15:17:47.000000000,investment_transfer_out
9161839631096504,2750391877304118784,completed,1382.64,1608658420,1608658434,2020-12-22T17:33:54.000000000,investment_transfer_out
9390205589247788,1732876199114582528,completed,280.97,1602531275,1602531285,2020-10-12T19:34:45.000000000,investment_transfer_in
9390205589247788,1985662794877506304,completed,1099.26,1596867984,1596867985,2020-08-08T06:26:25.000000000,investment_transfer_in
9390205589247788,1938303896511391232,completed,668.3,1586661568,1586661579,2020-04-12T03:19:39.000000000,investment_transfer_in
9390205589247788,1275108111977801472,completed,633.33,1598060775,1598060777,2020-08-22T01:46:17.000000000,investment_transfer_in
9390205589247788,1620155810825050880,completed,304.93,1604254688,1604254703,2020-11-01T18:18:23.000000000,investment_transfer_out
9390205589247788,1076995976443151872,completed,660.36,1605205105,1605205112,2020-11-12T18:18:32.000000000,investment_transfer_in
9448124885629486,2946295244498283520,completed,90.81,1595176257,1595176263,2020-07-19T16:31:03.000000000,investment_transfer_out
9448124885629486,1114674671235133952,completed,536.88,1579416698,1579416707,2020-01-19T06:51:47.000000000,investment_transfer_in
